"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C3","размеры кнопок","Михаил Панфилов","13.02.2021 14:48","","","Medium","","Панфилов","0","","Master","S1","Usability","Михаил Панфилов","13.02.2021 15:04"
"C137","egg","Ирина Климина","20.02.2021 19:27","","","Medium","","Панфилов","0","","Master","S1","Other","Ирина Климина","20.02.2021 19:27"
"C17","копирование файлов разных типов и размеров","Михаил Панфилов","13.02.2021 15:07","86400s","","Critical","","функциональный тест","1","","Master","S1","Functional","Михаил Панфилов","13.02.2021 15:47"
"C78","Изменение размера диалогового окна программы","Евгения Пудник","18.02.2021 15:01","","","Medium","","Тестирование юзабилити","1","","Master","S1","Other","Евгения Пудник","18.02.2021 15:01"
"C79","Перемещение окна программы на экране монитора","Евгения Пудник","18.02.2021 15:25","","","Medium","","Тестирование юзабилити","1","","Master","S1","Other","Евгения Пудник","18.02.2021 15:25"
"C75","Размер кнопок","Евгения Пудник","18.02.2021 12:31","","","Low","","интерфейс пользователя","1","","Master","S1","Usability","Евгения Пудник","18.02.2021 13:49"
"C76","Отображение названия кнопок и их корректное описание","Евгения Пудник","18.02.2021 13:52","","","Medium","","интерфейс пользователя","1","","Master","S1","Other","Евгения Пудник","18.02.2021 15:18"
"C77","Подсветка кнопок в интерфейсе","Евгения Пудник","18.02.2021 14:46","","","Low","","интерфейс пользователя","1","","Master","S1","Other","Евгения Пудник","18.02.2021 15:34"
"C80","Проверка корректной работы кнопок управления окном(закрыть, свернуть,развернуть)","Евгения Пудник","18.02.2021 15:57","","","Medium","","Функциональные тесты","1","","Master","S1","Other","Евгения Пудник","19.02.2021 22:20"
"C83","Проверка добавления и копирования 1 файла","Евгения Пудник","18.02.2021 16:52","","","Medium","","Функциональные тесты","1","","Master","S1","Functional","Евгения Пудник","19.02.2021 22:07"
"C89","Проверка корректной работы кнопки ""остановить грузить""","Евгения Пудник","18.02.2021 19:27","","","Medium","","Функциональные тесты","1","","Master","S1","Functional","Евгения Пудник","19.02.2021 22:11"
"C90","Проверка копирования файлов  форматов jpeg,docx,pdf,avi,exe,zip   при одновременном копировании нескольких файлов.","Евгения Пудник","18.02.2021 23:32","","","Medium","","Функциональные тесты","1","","Master","S1","Functional","Евгения Пудник","19.02.2021 1:06"
"C92","Проверка повторного копирования файла, уже скопированного раннее.","Евгения Пудник","19.02.2021 0:19","","","Medium","","Функциональные тесты","1","","Master","S1","Other","Евгения Пудник","19.02.2021 0:19"
"C93","Проверка  копирования файлов разных размеров от 100кб до 1гб","Евгения Пудник","19.02.2021 0:58","","","Medium","","Функциональные тесты","1","","Master","S1","Other","Евгения Пудник","19.02.2021 0:58"
"C85","Проверка удаления файла из списка файлов путем его выделения синим.","Евгения Пудник","18.02.2021 17:57","","","Medium","","Проверка работы кнопки""Удалить выделенные файлы из списка""","2","","Master","S1","Functional","Евгения Пудник","18.02.2021 23:58"
"C86","Проверка удаления файла из списка файлов посредством выделения галочкой.","Евгения Пудник","18.02.2021 18:08","","","Medium","","Проверка работы кнопки""Удалить выделенные файлы из списка""","2","","Master","S1","Functional","Евгения Пудник","19.02.2021 0:03"
"C87","Проверка удаления файла из списка файлов посредством выделения галочкой и подсветкой синим.","Евгения Пудник","18.02.2021 18:17","","","Medium","","Проверка работы кнопки""Удалить выделенные файлы из списка""","2","","Master","S1","Functional","Евгения Пудник","19.02.2021 0:04"
"C88","Проверка работы отмены удаления файла из списка файлов.","Евгения Пудник","18.02.2021 18:28","","","Medium","","Проверка работы кнопки""Удалить выделенные файлы из списка""","2","","Master","S1","Functional","Евгения Пудник","18.02.2021 18:28"
"C91","Проверка возможности  удаления  10 файлов одновременно из окна список файлов.","Евгения Пудник","18.02.2021 23:55","","","Medium","","Проверка работы кнопки""Удалить выделенные файлы из списка""","2","","Master","S1","Functional","Евгения Пудник","19.02.2021 22:12"
"C139","Размер кнопок","Иван Горяйнов","20.02.2021 20:34","","","Low","","UI","1","","Master","S1","Usability","Иван Горяйнов","20.02.2021 21:10"
"C142","Расположение текста","Иван Горяйнов","20.02.2021 21:12","","","Low","","UI","1","","Master","S1","Other","Иван Горяйнов","20.02.2021 21:15"
"C143","Отображение названий  кнопок","Иван Горяйнов","20.02.2021 21:16","","","Medium","","UI","1","","Master","S1","Other","Иван Горяйнов","20.02.2021 21:22"
"C145","Грамматический ошибка","Иван Горяйнов","20.02.2021 21:24","","","Medium","","UI","1","","Master","S1","Other","Иван Горяйнов","20.02.2021 21:27"
"C146","Работа кнопок интерфейса","Иван Горяйнов","20.02.2021 21:27","","","Critical","","функциональные тесты","1","","Master","S1","Functional","Иван Горяйнов","20.02.2021 21:42"
"C150","Добавление сразу нескольких файлов в список","Иван Горяйнов","20.02.2021 21:44","","","Medium","","функциональные тесты","1","","Master","S1","Functional","Иван Горяйнов","20.02.2021 21:46"
"C152","Работа кнопок управления окном","Иван Горяйнов","20.02.2021 21:47","","","Critical","","функциональные тесты","1","","Master","S1","Other","Иван Горяйнов","20.02.2021 22:19"
"C12","Размеры кнопок","Диана Гаврилова","13.02.2021 14:56","","","Medium","","Интерфейс пользователя","1","","Master","S1","Usability","Диана Гаврилова","13.02.2021 15:04"
"C22","Копирование файлов разных типов и размеров","Диана Гаврилова","13.02.2021 15:07","86400s","","Critical","","Функц. тесты","1","","Master","S1","Functional","Диана Гаврилова","13.02.2021 15:50"
"C10","Размер кнопок в верхней строке  окна программы.","Ярослав Романюк","13.02.2021 14:49","","","Low","","Нефункциональные тесты (интерфейс пользователя).","1","","Master","S1","Accessibility","Ярослав Романюк","20.02.2021 14:43"
"C127","Простота, логичность и понятность интерфейса.","Ярослав Романюк","20.02.2021 14:39","","","Low","","Нефункциональные тесты (интерфейс пользователя).","1","","Master","S1","Accessibility","Ярослав Романюк","20.02.2021 15:33"
"C23","Копирование файлов различных типов и размеров.","Ярослав Романюк","13.02.2021 15:07","86400s","","Critical","","Функциональные тесты (тестирование взаимодействия).","1","","Master","S1","Functional","Ярослав Романюк","20.02.2021 21:37"
